Pattern Name,Inter Circle (um),Outer Circle (um),Current (A),Voltage (V)
2,25,35,-1.00E-02,-1.88E-02
2,25,35,-9.00E-03,-1.69E-02
2,25,35,-8.00E-03,-1.50E-02
2,25,35,-7.00E-03,-1.31E-02
2,25,35,-6.00E-03,-1.12E-02
2,25,35,-5.00E-03,-9.36E-03
2,25,35,-4.00E-03,-7.48E-03
2,25,35,-3.00E-03,-5.59E-03
2,25,35,-2.00E-03,-3.71E-03
2,25,35,-1.00E-03,-1.82E-03
2,25,35,3.27E-07,6.44E-05
2,25,35,1.00E-03,1.95E-03
2,25,35,2.00E-03,3.83E-03
2,25,35,3.00E-03,5.72E-03
2,25,35,4.00E-03,7.60E-03
2,25,35,5.00E-03,9.49E-03
2,25,35,6.00E-03,1.14E-02
2,25,35,7.00E-03,1.33E-02
2,25,35,8.00E-03,1.51E-02
2,25,35,9.00E-03,1.70E-02
2,25,35,1.00E-02,1.89E-02
