Pattern Name,Inter Circle (um),Outer Circle (um),Current (A),Voltage (V)
2,25,132,-1.00E-02,-4.83E-02
2,25,132,-9.00E-03,-4.35E-02
2,25,132,-8.00E-03,-3.86E-02
2,25,132,-7.00E-03,-3.38E-02
2,25,132,-6.00E-03,-2.89E-02
2,25,132,-5.00E-03,-2.41E-02
2,25,132,-4.00E-03,-1.93E-02
2,25,132,-3.00E-03,-1.44E-02
2,25,132,-2.00E-03,-9.61E-03
2,25,132,-1.00E-03,-4.77E-03
2,25,132,3.26E-07,6.47E-05
2,25,132,1.00E-03,4.90E-03
2,25,132,2.00E-03,9.73E-03
2,25,132,3.00E-03,1.46E-02
2,25,132,4.00E-03,1.94E-02
2,25,132,5.00E-03,2.42E-02
2,25,132,6.00E-03,2.91E-02
2,25,132,7.00E-03,3.39E-02
2,25,132,8.00E-03,3.87E-02
2,25,132,9.00E-03,4.36E-02
2,25,132,1.00E-02,4.84E-02
