Pattern Name,Inter Circle (um),Outer Circle (um),Current (A),Voltage (V)
2,25,98,-1.00E-02,-4.12E-02
2,25,98,-9.00E-03,-3.71E-02
2,25,98,-8.00E-03,-3.29E-02
2,25,98,-7.00E-03,-2.88E-02
2,25,98,-6.00E-03,-2.47E-02
2,25,98,-5.00E-03,-2.06E-02
2,25,98,-4.00E-03,-1.64E-02
2,25,98,-3.00E-03,-1.23E-02
2,25,98,-2.00E-03,-8.18E-03
2,25,98,-1.00E-03,-4.06E-03
2,25,98,3.17E-07,6.55E-05
2,25,98,1.00E-03,4.19E-03
2,25,98,2.00E-03,8.31E-03
2,25,98,3.00E-03,1.24E-02
2,25,98,4.00E-03,1.66E-02
2,25,98,5.00E-03,2.07E-02
2,25,98,6.00E-03,2.48E-02
2,25,98,7.00E-03,2.89E-02
2,25,98,8.00E-03,3.30E-02
2,25,98,9.00E-03,3.72E-02
2,25,98,1.00E-02,4.13E-02
